generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
271,423,1.0952584475477927e-05,2.2528858016855165e-05,1.9138866432547127e-05,2.7119657260498932e-06
272,427,1.0695144986163085e-05,2.2528858016855165e-05,1.9113216071769917e-05,2.7378359668309792e-06
273,442,1.0695144986163085e-05,2.2528858016855165e-05,1.9049716018204227e-05,2.7963308115282956e-06
274,426,1.0695144986163085e-05,2.2528858016855165e-05,1.9119534109705917e-05,2.8441223865558494e-06
275,435,1.0613878414181417e-05,2.1682750730280774e-05,1.931580791105162e-05,2.8156444880786354e-06
276,440,1.0613878414181417e-05,2.1682750730280774e-05,1.9416229969641148e-05,2.734590813407619e-06
277,418,1.0882647242040002e-05,2.1682750730280774e-05,1.94285798404938e-05,2.6419218136357926e-06
278,445,1.118900161891902e-05,2.1682750730280774e-05,1.960296990398104e-05,2.4660540179741247e-06
279,442,1.1533144111165051e-05,2.1682750730280774e-05,1.9770438150167863e-05,2.330698518327035e-06
280,425,1.2276459127876357e-05,2.1682750730280774e-05,1.986283196653751e-05,2.2471247631430704e-06
281,435,1.108492909868311e-05,2.1711291251900567e-05,1.9730442140946128e-05,2.372085399858786e-06
282,437,1.0823287714011545e-05,2.199645893034255e-05,1.9348437125481565e-05,2.6777238896830986e-06
283,444,1.0929368259107009e-05,2.1778667336080795e-05,1.9281550671933427e-05,2.670580971380858e-06
284,438,1.0603606528158219e-05,2.1778667336080795e-05,1.9231647245826843e-05,2.6138523307260654e-06
285,447,1.1753861655674555e-05,2.1711291251900567e-05,1.9349132021899605e-05,2.495927304736908e-06
286,427,1.1845034174877134e-05,2.1711291251900567e-05,1.940863213689747e-05,2.447321103895745e-06
287,435,1.1425432784934102e-05,2.1899739354094222e-05,1.928236517178062e-05,2.5877677848531977e-06
288,427,1.151653211983898e-05,2.2000478671436072e-05,1.9221867355802833e-05,2.544328106984971e-06
289,446,1.151653211983898e-05,2.1711291251900567e-05,1.918658865195253e-05,2.561011334619e-06
290,419,1.1925284083199298e-05,2.1711291251900567e-05,1.9237348294909653e-05,2.5162956200546524e-06
291,422,1.1705162639862094e-05,2.1899739354094222e-05,1.9155856474496256e-05,2.559364672997863e-06
292,439,1.1660708279021518e-05,2.1899739354094222e-05,1.9229181647867607e-05,2.594680645805819e-06
293,441,1.1246450383429292e-05,2.1899739354094222e-05,1.9286514860635928e-05,2.640142686541215e-06
294,420,1.09689236304392e-05,2.1899739354094222e-05,1.929053699620105e-05,2.6243743370404177e-06
295,431,1.09689236304392e-05,2.2542705980259026e-05,1.9334109044525317e-05,2.552272759162461e-06
296,425,1.1292960330467818e-05,2.2542705980259026e-05,1.9142222916398997e-05,2.653769870817297e-06
297,424,1.22322872788756e-05,2.1899739354094222e-05,1.9185965973906573e-05,2.594954820937917e-06
298,447,1.0673917746013055e-05,2.1899739354094222e-05,1.9137553031127864e-05,2.5961523113179187e-06
299,424,1.0673917746013055e-05,2.1899739354094222e-05,1.922967234368266e-05,2.6626422498877998e-06
