generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
72,427,1.1440077017782157e-05,2.033145054344319e-05,1.6846871093967772e-05,1.9038735399357456e-06
73,444,1.1997751811141864e-05,2.033145054344319e-05,1.6897068238663395e-05,1.8643064477569894e-06
74,440,1.2542849544899805e-05,2.033145054344319e-05,1.6981552751087495e-05,1.918772524690404e-06
75,437,1.2415754978369536e-05,2.033145054344319e-05,1.6986342007512805e-05,1.885846546692315e-06
76,442,1.2477112846902254e-05,2.1022498504270357e-05,1.6950936652018782e-05,1.9204237468922715e-06
77,448,1.2080482058668234e-05,2.1022498504270357e-05,1.698116796486034e-05,1.9552282505865836e-06
78,426,1.2080482058668234e-05,2.1022498504270357e-05,1.701521730198439e-05,1.914023032375971e-06
79,433,1.1209484837483242e-05,2.1022498504270357e-05,1.7081725075574934e-05,1.8887808337134784e-06
80,424,1.1209484837483242e-05,2.1022498504270357e-05,1.7062059662892808e-05,1.856655989107413e-06
81,435,1.1209484837483242e-05,2.1022498504270357e-05,1.7235174586793542e-05,1.7618725364424823e-06
82,442,1.2304446150406163e-05,2.1022498504270357e-05,1.7152053568073762e-05,1.8321161817225455e-06
83,435,1.2104459008021589e-05,2.1022498504270357e-05,1.7376943836170923e-05,1.7260151655431429e-06
84,443,1.1721432156636279e-05,2.033145054344319e-05,1.7272357103029103e-05,1.8014396561291152e-06
85,426,1.1721432156636279e-05,2.033145054344319e-05,1.7190603098392556e-05,1.9127240389597786e-06
86,418,1.1299535857859919e-05,2.033145054344319e-05,1.7074177659772818e-05,2.0014794026692287e-06
87,436,1.1310834845242257e-05,2.0200798865603287e-05,1.712643353878105e-05,1.9575219572291714e-06
88,429,1.1310834845242257e-05,2.0200798865603287e-05,1.7191743544451787e-05,1.963531178948989e-06
89,435,1.1310834845242257e-05,2.0200798865603287e-05,1.7092428441453046e-05,2.0601596261205947e-06
90,436,1.1310834845242257e-05,2.0200798865603287e-05,1.7106267272870643e-05,2.009140674568354e-06
91,439,1.1310834845242257e-05,2.0200798865603287e-05,1.6994729122088613e-05,2.017561941630719e-06
92,434,1.1310834845242257e-05,2.0200798865603287e-05,1.7001071156059593e-05,2.016630572712368e-06
93,429,1.1310834845242257e-05,2.0200798865603287e-05,1.7013505982228746e-05,2.016026808244194e-06
94,421,1.1711125228800378e-05,2.0200798865603287e-05,1.713916311661889e-05,2.022925510089836e-06
95,436,1.2125658403484461e-05,2.0200798865603287e-05,1.715070128116512e-05,2.020637154647186e-06
